,seller_state,customer_state,total_order,product_weight_g,product_square_cm,price,freight_value,avg_shipping_fee,shipping_fee_1000cm,shipping_fee_100g
150,MA,SC,20,10850.0,92112.0,1970.8,751.84,37.592,8.162237276359216,6.929400921658986
151,DF,RS,23,28746.0,256156.0,3630.55,744.8,32.38260869565217,2.9076031793126065,2.590969178320462
152,PE,BA,32,19821.0,164081.0,6137.4,679.12,21.2225,4.138931381451845,3.4262650723979617
153,MA,DF,28,13350.0,110352.0,2389.72,660.97,23.60607142857143,5.989651297665652,4.951086142322097
154,MT,MG,21,29325.0,192799.0,2222.95,656.91,31.28142857142857,3.407227215908796,2.2401023017902815
155,RS,MA,15,16292.0,172863.0,1892.1,655.35,43.690000000000005,3.791152531195224,4.022526393321876
156,MG,TO,16,35130.0,167205.0,2041.56,641.13,40.070625,3.8343949044585988,1.8250213492741247
157,MG,RO,16,27110.0,156764.0,1400.59,625.74,39.10875,3.9916052154831467,2.3081519734415346
158,ES,PR,16,117783.0,321969.0,2052.28,622.65,38.915625,1.9338818333442038,0.5286416545681465
159,CE,RJ,10,84600.0,535541.0,3916.86,597.46,59.746,1.1156195323980798,0.7062174940898346
160,RS,CE,14,13937.0,97080.0,3838.86,596.48,42.605714285714285,6.144210960032963,4.279830666570998
161,ES,SC,13,117025.0,287306.0,2495.38,594.6,45.73846153846154,2.069570423172506,0.5080965605639821
162,DF,SC,25,24241.0,399357.0,1987.86,584.95,23.398000000000003,1.4647295527560555,2.4130605173053916
163,PR,TO,17,33253.0,238356.0,2389.19,583.41,34.31823529411764,2.4476413432009263,1.754458244368929
164,DF,GO,36,46660.0,378834.0,3160.73,580.18,16.11611111111111,1.5314887259327303,1.2434204886412343
165,BA,SC,13,17700.0,121139.0,8066.44,575.45,44.26538461538462,4.75032813544771,3.251129943502825
166,SC,SE,17,19933.0,229532.0,2145.07,573.72,33.74823529411765,2.499520763989335,2.8782421110720917
167,RS,PI,13,15100.0,139568.0,3048.65,573.22,44.09384615384616,4.107101914478964,3.7961589403973512
168,GO,CE,13,17232.0,150135.0,2013.4,558.36,42.95076923076923,3.7190528524328106,3.2402506963788302
169,PR,AM,15,19847.0,156703.0,1784.79,556.27,37.084666666666664,3.5498363145568366,2.802791353857006
170,DF,DF,61,28712.0,357714.0,4426.55,549.65,9.010655737704917,1.5365627288839685,1.9143563666759542
171,RJ,RO,13,15920.0,100540.0,5605.45,546.5,42.03846153846154,5.435647503481201,3.432788944723618
172,GO,PR,16,13308.0,185359.0,1274.71,530.34,33.14625,2.861150524118063,3.9851217312894502
173,BA,MA,17,20433.0,150551.0,9741.0,522.52,30.736470588235292,3.470717564147697,2.557235843977879
174,MA,PE,22,11350.0,87096.0,1895.78,509.76,23.170909090909092,5.852852025351336,4.491277533039647
175,MA,GO,17,10150.0,83220.0,1765.83,507.81,29.871176470588235,6.102018745493871,5.003054187192118
176,PB,RJ,8,28947.0,240278.0,5435.61,505.12,63.14,2.102231581751138,1.7449822088644766
177,BA,PA,11,46819.0,264514.0,5151.67,496.93,45.17545454545455,1.8786529257430609,1.061385335013563
178,RJ,TO,15,31460.0,296287.0,2321.14,494.12,32.94133333333333,1.6677073243173004,1.5706293706293708
179,DF,ES,22,14057.0,122884.0,2142.53,484.13,22.00590909090909,3.939731779564467,3.4440492281425623
180,MG,AC,10,20507.0,136395.0,2096.5,482.41,48.241,3.5368598555665534,2.3524162481104014
181,PE,GO,13,20181.0,97882.0,2927.5,477.69,36.745384615384616,4.880263991336507,2.367028393042961
182,PE,SC,10,11390.0,64900.0,3626.2,473.96,47.396,7.302927580893682,4.161194029850746
183,MT,RJ,14,17575.0,129269.0,1960.5,473.11,33.79357142857143,3.6598875213701665,2.6919487908961592
184,SC,TO,12,30569.0,170562.0,2402.62,468.56,39.04666666666667,2.74715352774944,1.5327946612581373
185,RJ,SE,19,19865.0,172244.0,2141.08,464.76,24.461052631578948,2.698265251619795,2.3395922476717845
186,RS,RO,9,4250.0,77606.0,1797.06,459.59,51.065555555555555,5.922093652552638,10.813882352941176
187,RS,SE,8,27875.0,148810.0,3498.55,458.08,57.26,3.078287749479202,1.6433363228699551
188,BA,DF,18,18344.0,148952.0,8684.5,453.42,25.19,3.0440678876416567,2.4717618839947666
189,RS,MS,17,19100.0,181787.0,2306.9700000000003,446.8,26.28235294117647,2.457821516390061,2.3392670157068065
190,RS,PB,8,9345.0,79632.0,2331.16,446.07,55.75875,5.601642555756479,4.773354735152488
191,GO,DF,29,16025.0,205784.0,2782.04,444.45,15.325862068965517,2.159788904871127,2.7734789391575663
192,BA,PR,13,10444.0,63770.0,4829.82,443.61,34.12384615384615,6.956405833464012,4.247510532363079
193,MG,AM,13,7450.0,116445.0,1401.76,442.49,34.03769230769231,3.7999914122547125,5.939463087248322
194,BA,CE,14,21900.0,155554.0,8730.89,440.63,31.47357142857143,2.8326497550689793,2.0120091324200913
195,RS,AL,10,31092.0,210819.0,1996.01,428.71,42.870999999999995,2.033545363558313,1.378843432394185
196,SC,AL,11,20025.0,152028.0,1834.21,428.35,38.940909090909095,2.817573078643408,2.1390761548064923
197,GO,GO,37,44574.0,392158.0,3097.21,423.03,11.433243243243243,1.078723371702222,0.9490510162875218
198,PE,CE,17,13755.0,93662.0,4030.26,415.58,24.445882352941176,4.437018214430612,3.021301344965467
199,PB,SP,8,9725.0,86421.0,3802.1,404.73,50.59125,4.683236713298851,4.161748071979435
200,DF,CE,14,7500.0,65977.0,1616.86,394.48,28.177142857142858,5.97905330645528,5.259733333333334
201,MS,SP,19,43829.0,126515.0,2979.99,394.06,20.74,3.1147294787179387,0.8990850806543613
202,CE,CE,9,101500.0,545598.0,2217.72,385.67,42.852222222222224,0.7068757583422227,0.3799704433497537
203,PE,ES,22,14421.0,117454.0,4054.29,385.25,17.511363636363637,3.280007492294856,2.671451355661882
204,PE,DF,15,8902.0,82214.0,4715.7,383.27,25.551333333333332,4.661858077699661,4.30543698045383
205,GO,MA,14,31891.0,170137.0,4024.72,373.98,26.712857142857143,2.198110934129555,1.1726819478849833
206,BA,PB,10,34300.0,191333.0,9674.99,372.15,37.214999999999996,1.9450382317739228,1.0849854227405247
207,MA,ES,13,6450.0,49476.0,1135.87,370.46,28.496923076923075,7.48767078987792,5.743565891472868
208,SC,RO,9,11716.0,118428.0,2411.38,368.62,40.95777777777778,3.1126085047454994,3.146295664049164
209,PE,PR,9,4292.0,36112.0,1145.16,359.62,39.95777777777778,9.958462560921578,8.378844361602983
210,BA,PI,10,20142.0,143655.0,3023.51,352.97,35.297000000000004,2.4570672792454142,1.7524079038824347
211,CE,PA,3,40200.0,219387.0,857.47,351.25,117.08333333333333,1.6010520222255649,0.8737562189054726
212,RJ,AL,12,14375.0,64901.0,1351.05,331.73,27.644166666666667,5.111323400255775,2.3076869565217395
213,RO,SP,7,17680.0,45812.0,2174.78,331.54,47.362857142857145,7.236968479874269,1.8752262443438916
214,GO,RS,12,8535.0,66306.0,1024.08,325.06,27.088333333333335,4.90242210358037,3.8085530169888693
215,RS,RN,8,8675.0,65477.0,1562.67,311.58,38.9475,4.758617529819632,3.591700288184438
216,RJ,AM,8,6796.0,77460.0,2115.4300000000003,308.25,38.53125,3.9794732765298213,4.535756327251325
217,CE,PR,5,21150.0,122992.0,580.3199999999999,307.6,61.52,2.5009756732145183,1.454373522458629
218,PE,PE,24,13315.0,125716.0,2954.9700000000003,301.18,12.549166666666666,2.395717331127303,2.261960195268494
219,GO,SC,11,5027.0,36228.0,1139.68,300.86,27.35090909090909,8.304626255934638,5.984881639148599
220,DF,PA,11,5987.0,51665.0,1506.51,294.44,26.767272727272726,5.6990225491144875,4.917988976114915
221,GO,PA,10,7910.0,110106.0,1767.68,294.29,29.429000000000002,2.672788040615407,3.720480404551201
222,BA,GO,11,9100.0,70387.0,3234.48,292.91,26.62818181818182,4.161421853467259,3.218791208791209
223,DF,PB,8,3615.0,51122.0,433.68,290.76,36.345,5.687570908806385,8.043153526970954
224,BA,MT,7,11500.0,103776.0,4105.13,289.71,41.387142857142855,2.7916859389454207,2.5192173913043474
225,DF,MA,11,6065.0,68632.0,898.85,286.51,26.046363636363637,4.174583284765124,4.7239901071723
226,MA,PR,9,4200.0,34884.0,744.91,285.03000000000003,31.67,8.170794633642933,6.786428571428573
227,GO,PB,7,4965.0,48304.0,771.67,282.81,40.401428571428575,5.854794633984763,5.69607250755287
228,BA,ES,13,19959.0,137259.0,2432.09,282.8,21.753846153846155,2.060338484179544,1.4169046545418107
229,PR,RR,6,6063.0,77561.0,872.0,282.55,47.09166666666667,3.642939105993992,4.660234207488043
230,ES,PE,6,31488.0,74292.0,503.7000000000001,278.88,46.48,3.7538362138588273,0.885670731707317
231,GO,PE,10,10427.0,88919.0,1040.42,278.76,27.875999999999998,3.1349880228072737,2.673443943607941
232,PE,PA,7,5036.0,48420.0,1132.89,272.91,38.987142857142864,5.636307311028501,5.419181890389199
233,MT,GO,11,22675.0,220587.0,1110.65,270.69,24.60818181818182,1.2271348719552828,1.1937816979051818
234,RS,AM,7,11800.0,123956.0,773.7,266.87,38.12428571428571,2.1529413662912646,2.2616101694915254
235,MT,PR,8,16250.0,79018.0,954.54,264.95,33.11875,3.353033486041155,1.6304615384615382
236,GO,BA,8,7359.0,68299.0,1164.79,251.63,31.45375,3.684241350532219,3.419350455224895
237,ES,MT,8,53750.0,147200.0,686.7,245.11,30.63875,1.665149456521739,0.4560186046511628
238,MT,RS,6,11750.0,67878.0,911.8,240.54,40.089999999999996,3.5437107752143553,2.0471489361702124
239,DF,PE,9,4225.0,45781.0,808.23,238.75,26.52777777777778,5.215045542910814,5.650887573964497
240,SC,AC,5,4868.0,37526.0,1094.45,236.22,47.244,6.294835580664072,4.852506162695152
241,SC,AP,4,3350.0,33441.0,550.89,232.15,58.0375,6.942077090996083,6.929850746268657
242,DF,MT,12,6832.0,100408.0,1123.41,231.39,19.2825,2.304497649589674,3.386855971896955
243,SC,AM,4,10950.0,65302.0,736.4,227.71,56.9275,3.4870294937367925,2.079543378995434
244,MA,BA,10,4900.0,40584.0,861.9,227.26,22.726,5.599743741375911,4.63795918367347
245,GO,AL,7,2066.0,45234.0,673.36,222.62,31.802857142857142,4.921519211212805,10.77541142303969
246,DF,AL,4,21213.0,93216.0,1049.8,217.13,54.2825,2.3293211465842774,1.023570452081271
247,DF,PI,8,8738.0,123279.0,677.9200000000001,210.31,26.28875,1.7059677641771918,2.4068436713206682
248,RN,SP,5,3387.0,44448.0,494.5,208.29,41.658,4.68615010799136,6.149689991142604
